,Estacao,lat,long
109,NAZARÉ DA MATA,-7.737195643601891,-35.2331685994983
110,OLINDA,-7.993098026973561,-34.86612738817755
111,OROBÓ,-7.705821618950126,-35.598599460029845
112,OROCÓ,-8.472115128625008,-39.591073178130465
113,OURICURI,-7.964842754055274,-40.16414905619654
114,PALMARES,-8.65656286412447,-35.62994561584029
115,PALMEIRINA,-9.01141338941106,-36.27785206811644
116,PANELAS,-8.665102276263339,-36.04914115924802
117,PARANATAMA,-8.893941481630367,-36.70711206577962
118,PARNAMIRIM,-8.161758338230849,-39.76962263326651
119,PASSIRA,-8.0123859516338,-35.546460681215535
120,PAUDALHO,-7.906154102995682,-35.15502388934528
121,PAULISTA,-7.928154836511677,-34.88326240499264
122,PEDRA,-8.697386526043452,-36.89993231484326
123,PESQUEIRA,-8.390752596025678,-36.73946749630544
124,PETROLÂNDIA,-8.899329817859238,-38.30789393563558
125,PETROLINA,-9.019794863224483,-40.57235918582358
126,POÇÃO,-8.224773330852038,-36.71171617988517
127,POMBOS,-8.181682040178867,-35.387295343587425
128,PRIMAVERA,-8.326944237180298,-35.390935176896946
129,QUIPAPÁ,-8.836064533594941,-36.02867955198191
130,QUIXABA,-7.717609897638394,-37.84907387005226
131,RECIFE,-8.039225411351689,-34.93317472679262
132,RIACHO DAS ALMAS,-8.081950801839671,-35.88289961704168
133,RIBEIRÃO,-8.504610596485898,-35.366513902298614
134,RIO FORMOSO,-8.675068961347213,-35.21815020790855
135,SAIRÉ,-8.303363074586922,-35.68458820629062
136,SALGADINHO,-7.916144944966133,-35.59381844332314
137,SALGUEIRO,-8.12903698269142,-39.09086771005324
138,SALOÁ,-8.991600000920396,-36.73894574372813
139,SANHARÓ,-8.365310163032813,-36.549568480204336
140,SANTA CRUZ,-8.29105102797698,-40.30185701162798
141,SANTA CRUZ DA BAIXA VERDE,-7.849491551992116,-38.17571193597882
142,SANTA CRUZ DO CAPIBARIBE,-7.8895675497160695,-36.32529468243328
143,SANTA FILOMENA,-8.223610810913755,-40.57151656428018
144,SANTA MARIA DA BOA VISTA,-8.629725742799307,-39.91435573622926
145,SANTA MARIA DO CAMBUCÁ,-7.824747913871336,-35.88289695407629
146,SANTA TEREZINHA,-7.4304342565440695,-37.436516797417774
147,SÃO BENEDITO DO SUL,-8.8092673958796,-35.90670726411468
148,SÃO BENTO DO UNA,-8.535920025004048,-36.450637972496054
149,SÃO CAITANO,-8.328831345613395,-36.148007535316786
150,SÃO JOÃO,-8.879958593102721,-36.37758276175209
151,SÃO JOAQUIM DO MONTE,-8.45507170342507,-35.84273142501685
152,SÃO JOSÉ DA COROA GRANDE,-8.865555853636856,-35.18509570462343
153,SÃO JOSÉ DO BELMONTE,-7.865761516742482,-38.745667010943855
154,SÃO JOSÉ DO EGITO,-7.528019403165034,-37.27310708572482
155,SÃO LOURENÇO DA MATA,-8.02356956203374,-35.104090973932045
156,SÃO VICENTE FERRER,-7.6061533095655385,-35.48995501695186
157,SERRA TALHADA,-8.036099958946467,-38.3697280943505
158,SERRITA,-7.850467162016636,-39.381537542335785
159,SERTÂNIA,-8.210559735120272,-37.33708243487627
160,SIRINHAÉM,-8.572016902185972,-35.172042774176965
161,MOREILÂNDIA,-7.618048258927779,-39.52234464229222
162,SOLIDÃO,-7.584851003840218,-37.65132910351462
163,SURUBIM,-7.891860170505894,-35.754525821663556
164,TABIRA,-7.577552269856796,-37.51368124993046
165,TACAIMBÓ,-8.34799611465493,-36.27015716127166
166,TACARATU,-8.956799101340497,-38.07649142817967
167,TAMANDARÉ,-8.745596326409261,-35.22964659801719
168,TAQUARITINGA DO NORTE,-7.869437861058119,-36.13045508450296
169,TEREZINHA,-9.077555618820224,-36.63084086886097
170,TERRA NOVA,-8.145317521375153,-39.38921131382657
171,TIMBAÚBA,-7.533924017473025,-35.34048534237537
172,TORITAMA,-7.999021594600604,-36.055725391094605
173,TRACUNHAÉM,-7.758988192579452,-35.160470534194786
174,TRINDADE,-7.727799174268822,-40.295004688404724
175,TRIUNFO,-7.849853702558401,-38.066628628196376
176,TUPANATINGA,-8.683871996522367,-37.28027861890499
177,TUPARETAMA,-7.688112135805832,-37.26393798220672
178,VENTUROSA,-8.61501403193595,-36.80531939901791
179,VERDEJANTE,-7.975860462309417,-38.98908590244441
180,VERTENTE DO LÉRIO,-7.777649094595548,-35.81546826251396
181,VERTENTES,-7.890059280729347,-35.98229928368935
182,VICÊNCIA,-7.65952598255995,-35.35722375979029
183,VITÓRIA DE SANTO ANTÃO,-8.150021344564953,-35.28763194946086
184,XEXÉU,-8.836205482283587,-35.65330537137007
