Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82886;10/04/2000;0000;;31.3;;4.2;9.3;26.92;66.25;2.8;
82886;10/04/2000;1200;6.8;;23.4;;;;;;
82886;11/04/2000;0000;;34.1;;10.7;6;27.56;51.75;3.166667;
82886;11/04/2000;1200;0;;22.4;;;;;;
82886;12/04/2000;0000;;33.1;;5.2;11.2;27.76;60;4.166667;
82886;12/04/2000;1200;0;;23;;;;;;
82886;13/04/2000;0000;;32.3;;2.8;6.8;26.8;70.5;3.866667;
82886;13/04/2000;1200;3.8;;23.2;;;;;;
82886;14/04/2000;0000;;31.5;;7.4;4.7;25.76;71.25;2.833333;
82886;14/04/2000;1200;2.4;;22.4;;;;;;
82886;15/04/2000;0000;;32.7;;6.4;6.6;26.88;65;2.666667;
82886;15/04/2000;1200;0;;22.2;;;;;;
82886;16/04/2000;0000;;30.7;;2.6;5.9;25.84;78.5;3.033333;
82886;16/04/2000;1200;0;;22.8;;;;;;
82886;17/04/2000;0000;;28.3;;3;4;24.32;86.25;2.033333;
82886;17/04/2000;1200;1;;21.4;;;;;;
82886;18/04/2000;0000;;31.1;;4.6;1.3;25.24;79.5;2.233333;
82886;18/04/2000;1200;20.8;;21.4;;;;;;
82886;19/04/2000;0000;;29.1;;4.3;4.5;25.28;86.75;2.133333;
82886;19/04/2000;1200;0;;22.6;;;;;;
82886;20/04/2000;0000;;30.3;;6.2;2.1;25.68;81.25;1.033333;
82886;20/04/2000;1200;5.5;;23.2;;;;;;
82886;21/04/2000;0000;;31.9;;9.3;2.1;26.12;75.25;2.766667;
82886;21/04/2000;1200;11.4;;22;;;;;;
82886;22/04/2000;0000;;32.7;;9.7;3.6;27.04;78;3.066667;
82886;22/04/2000;1200;0.1;;23;;;;;;
82886;23/04/2000;0000;;33.5;;9.1;3.8;27.08;70.75;1.533333;
82886;23/04/2000;1200;0;;22;;;;;;
82886;24/04/2000;0000;;32.1;;9.7;5.3;27.36;61.25;4.633333;
82886;24/04/2000;1200;0;;23.4;;;;;;
82886;25/04/2000;0000;;28.7;;1.1;8.9;23.52;88.5;3.966667;
82886;25/04/2000;1200;0.4;;22;;;;;;
82886;26/04/2000;0000;;30.3;;3.9;3.3;25;70;4.533333;
82886;26/04/2000;1200;0.6;;21.4;;;;;;
82886;27/04/2000;0000;;29.7;;6.1;6.6;25.24;72.75;3.066667;
82886;27/04/2000;1200;0;;22.2;;;;;;
82886;28/04/2000;0000;;32.5;;9.7;4.7;26.32;62.5;2.966667;
82886;28/04/2000;1200;0;;21.4;;;;;;
82886;29/04/2000;0000;;32.3;;8.9;7;26.64;61.25;5.133333;
82886;29/04/2000;1200;0;;21.4;;;;;;
82886;30/04/2000;0000;;30.5;;9.1;9;26.16;56.25;4.8;
82886;30/04/2000;1200;0;;20.4;;;;;;
82886;01/05/2000;0000;;32.1;;8.7;9.6;26.4;;3.1;
82886;01/05/2000;1200;0;;22.4;;;;;;
82886;02/05/2000;0000;;32.5;;8.1;8.8;27.12;;5.366667;
82886;02/05/2000;1200;0;;23.2;;;;;;
82886;03/05/2000;0000;;32.7;;9;10.3;26.92;58.75;5.333333;
82886;03/05/2000;1200;0.1;;21.8;;;;;;
82886;04/05/2000;0000;;32.7;;8.7;10.9;27.08;;4.9;
82886;04/05/2000;1200;0;;21.2;;;;;;
82886;05/05/2000;0000;;33.3;;10;12;27.28;;3.866667;
82886;05/05/2000;1200;0;;22.2;;;;;;
82886;06/05/2000;0000;;31.9;;2.7;10.4;26.56;;3.433333;
82886;06/05/2000;1200;0;;22.4;;;;;;
82886;07/05/2000;0000;;33.1;;6.8;6.8;26.88;;2.933333;
82886;07/05/2000;1200;0.1;;23.4;;;;;;
82886;08/05/2000;0000;;32.7;;5.5;7.7;26.92;;4.633333;
82886;08/05/2000;1200;0;;23.2;;;;;;
82886;09/05/2000;0000;;30.9;;6.8;8.5;25.56;;4;
82886;09/05/2000;1200;2;;22.6;;;;;;
82886;10/05/2000;0000;;33.9;;8.7;4.6;27.24;;3.466667;
82886;10/05/2000;1200;0.4;;20.4;;;;;;
82886;11/05/2000;0000;;32.1;;9.2;8.8;27.48;;5.366667;
82886;11/05/2000;1200;0;;21.6;;;;;;
82886;12/05/2000;0000;;27.9;;1.6;10.1;24.48;;5.633333;
82886;12/05/2000;1200;0;;21.8;;;;;;
82886;13/05/2000;0000;;29.3;;1.7;7;24.84;;4.666667;
82886;13/05/2000;1200;0;;22;;;;;;
82886;14/05/2000;0000;;31.5;;5.8;7.1;26;;5.366667;
82886;14/05/2000;1200;0;;21.4;;;;;;
82886;15/05/2000;0000;;31.3;;9.8;8.8;25.92;;5.833333;
82886;15/05/2000;1200;0;;21.2;;;;;;
82886;16/05/2000;0000;;32.1;;7.4;11;26.28;;4.066667;
82886;16/05/2000;1200;0;;21.4;;;;;;
82886;17/05/2000;0000;;32.7;;5.2;9;26.84;;3.433333;
82886;17/05/2000;1200;0;;22.6;;;;;;
82886;18/05/2000;0000;;34.1;;4.1;7.8;27.76;;1.533333;
82886;18/05/2000;1200;0;;24;;;;;;
82886;19/05/2000;0000;;33.3;;6;6.6;27.92;;3.9;
82886;19/05/2000;1200;0;;23.4;;;;;;
82886;20/05/2000;0000;;34.7;;10.5;6.3;28.48;;3;
82886;20/05/2000;1200;0;;22.2;;;;;;
82886;21/05/2000;0000;;32.3;;10.1;14.2;26.8;;4.333333;
82886;21/05/2000;1200;0;;21.6;;;;;;
82886;22/05/2000;0000;;29.7;;4.7;11.3;25.32;;5.033333;
82886;22/05/2000;1200;0;;23;;;;;;
82886;23/05/2000;0000;;31.5;;5.6;8.3;25.24;;5.9;
82886;23/05/2000;1200;0;;22;;;;;;
82886;24/05/2000;0000;;30.7;;8.8;8.8;25.36;;5.166667;
82886;24/05/2000;1200;0;;21;;;;;;
82886;25/05/2000;0000;;30.7;;6.6;9.5;24.4;;3.533333;
82886;25/05/2000;1200;0;;18.8;;;;;;
82886;26/05/2000;0000;;32.3;;10.7;7.1;26.24;;3.666667;
82886;26/05/2000;1200;0;;21.2;;;;;;
82886;27/05/2000;0000;;32.5;;8.7;9.6;26.56;;2.833333;
82886;27/05/2000;1200;0;;22;;;;;;
82886;28/05/2000;0000;;32.9;;10;9.4;25.96;;2.2;
82886;28/05/2000;1200;0;;20.2;;;;;;
82886;29/05/2000;0000;;34.3;;10.6;8.7;27.36;;3.8;
82886;29/05/2000;1200;0;;20.4;;;;;;
82886;30/05/2000;0000;;32.5;;8.4;9.9;27.08;;4.266667;
82886;30/05/2000;1200;0;;22;;;;;;
82886;31/05/2000;0000;;30.7;;5.4;10.9;25.08;;3.333333;
82886;31/05/2000;1200;0;;20.4;;;;;;
82886;01/07/2000;0000;;29.7;;2.8;8.8;24.44;;3.166667;
82886;01/07/2000;1200;0;;21.2;;;;;;
82886;02/07/2000;0000;;30.3;;6.3;13.7;23.96;;4.933333;
82886;02/07/2000;1200;0;;19.6;;;;;;
82886;03/07/2000;0000;;29.3;;7.5;10.1;22.64;;4.266667;
82886;03/07/2000;1200;0;;19.4;;;;;;
82886;04/07/2000;0000;;26.1;;2.3;4.9;22.64;;2.966667;
82886;04/07/2000;1200;3;;19.2;;;;;;
82886;05/07/2000;0000;;27.1;;2;3.7;22.44;;5.133333;
82886;05/07/2000;1200;3.3;;18.6;;;;;;
82886;06/07/2000;0000;;29.7;;9.5;7;23.36;;4.133333;
82886;06/07/2000;1200;0;;18.4;;;;;;
82886;07/07/2000;0000;;29.9;;9.1;10.4;23.72;;4.2;
