Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82983;27/02/2000;0000;;32;;9.4;6.6;27.52;59.75;3;
82983;27/02/2000;1200;0;;23;;;;;;
82983;28/02/2000;0000;;32;;8.3;5.7;27.24;60.25;2.733333;
82983;28/02/2000;1200;0;;23;;;;;;
82983;29/02/2000;0000;;30.5;;7;4.2;26.88;60.25;2.466667;
82983;29/02/2000;1200;7.3;;22.9;;;;;;
82983;01/03/2000;0000;;31.2;;6.5;3.3;26.92;57.5;2.733333;
82983;01/03/2000;1200;0;;23.2;;;;;;
82983;02/03/2000;0000;;32.8;;9.6;3.7;26.16;66.25;1.633333;
82983;02/03/2000;1200;0;;22.4;;;;;;
82983;03/03/2000;0000;;32.2;;9.3;2.2;27.74;53;2.466667;
82983;03/03/2000;1200;0.6;;22.7;;;;;;
82983;04/03/2000;0000;;33.5;;10.7;2;28.02;52.25;3.333333;
82983;04/03/2000;1200;0;;23;;;;;;
82983;05/03/2000;0000;;32.4;;8.7;2.2;27.76;55.5;3.566667;
82983;05/03/2000;1200;0;;23.8;;;;;;
82983;06/03/2000;0000;;29.8;;0.6;2;26.08;63.5;3;
82983;06/03/2000;1200;0;;22.8;;;;;;
82983;07/03/2000;0000;;31;;3.1;1.8;26.96;62.25;2.466667;
82983;07/03/2000;1200;0;;23.6;;;;;;
82983;08/03/2000;0000;;30.4;;4.7;1.6;26.56;65.25;2.733333;
82983;08/03/2000;1200;0;;24;;;;;;
82983;09/03/2000;0000;;29.6;;2.5;4;25.64;74.25;1.9;
82983;09/03/2000;1200;0.2;;22.6;;;;;;
82983;10/03/2000;0000;;31.4;;8.4;2.9;26.04;69.75;2.166667;
82983;10/03/2000;1200;11.4;;22.4;;;;;;
82983;11/03/2000;0000;;31.6;;8.2;4.3;27.16;62;1.9;
82983;11/03/2000;1200;0;;;;;;;;
82983;12/03/2000;0000;;32.2;;7.5;4;27.7;57.75;1.5;
82983;12/03/2000;1200;0;;23.1;;;;;;
82983;13/03/2000;0000;;28.4;;0;4.3;24.36;89.5;2.466667;
82983;13/03/2000;1200;9.4;;22.8;;;;;;
82983;14/03/2000;0000;;28;;2.4;1.7;23.74;87.75;1.6;
82983;14/03/2000;1200;29.1;;22.1;;;;;;
82983;15/03/2000;0000;;29.7;;6.9;1;24.2;84.5;2.466667;
82983;15/03/2000;1200;3.6;;21.5;;;;;;
82983;16/03/2000;0000;;31.2;;8.2;2.6;26.84;62.5;2.733333;
82983;16/03/2000;1200;0;;23.2;;;;;;
82983;17/03/2000;0000;;30.8;;10.8;5.8;25.64;60.5;2.766667;
82983;17/03/2000;1200;0;;21.8;;;;;;
82983;18/03/2000;0000;;31.4;;11.1;5.6;25.6;61;2.466667;
82983;18/03/2000;1200;0;;21.2;;;;;;
82983;19/03/2000;0000;;31.6;;10.3;4.9;26.6;67.5;2.466667;
82983;19/03/2000;1200;0;;21.4;;;;;;
82983;20/03/2000;0000;;32.8;;10.7;5.4;28;61.75;2.733333;
82983;20/03/2000;1200;0;;23.6;;;;;;
