,Estacao,year,month,Precipitacao,long,lat
502,OURICURI,2007,11,3.4,-40.04,-7.9
503,OURICURI,2007,12,19.400000000000002,-40.04,-7.9
504,OURICURI,2008,1,29.0,-40.04,-7.9
505,OURICURI,2008,2,96.4,-40.04,-7.9
506,OURICURI,2008,3,272.3,-40.04,-7.9
507,OURICURI,2008,4,107.8,-40.04,-7.9
508,OURICURI,2008,5,22.900000000000002,-40.04,-7.9
509,OURICURI,2008,6,0.2,-40.04,-7.9
510,OURICURI,2008,7,17.200000000000003,-40.04,-7.9
511,OURICURI,2008,8,0.8,-40.04,-7.9
512,OURICURI,2008,10,0.0,-40.04,-7.9
513,OURICURI,2008,11,1.5,-40.04,-7.9
514,OURICURI,2008,12,53.60000000000001,-40.04,-7.9
515,OURICURI,2009,1,100.3,-40.04,-7.9
516,OURICURI,2009,2,127.8,-40.04,-7.9
517,OURICURI,2009,3,203.1,-40.04,-7.9
518,OURICURI,2009,4,241.60000000000002,-40.04,-7.9
519,OURICURI,2009,5,88.2,-40.04,-7.9
520,OURICURI,2009,6,17.8,-40.04,-7.9
521,OURICURI,2009,7,9.700000000000001,-40.04,-7.9
522,OURICURI,2009,8,7.3,-40.04,-7.9
523,OURICURI,2009,9,0.0,-40.04,-7.9
524,OURICURI,2009,10,38.7,-40.04,-7.9
525,OURICURI,2009,11,11.9,-40.04,-7.9
526,OURICURI,2009,12,178.39999999999998,-40.04,-7.9
527,OURICURI,2010,1,179.7,-40.04,-7.9
528,OURICURI,2010,2,21.600000000000005,-40.04,-7.9
529,OURICURI,2010,3,107.4,-40.04,-7.9
530,OURICURI,2010,4,249.50000000000006,-40.04,-7.9
531,OURICURI,2010,5,0.9000000000000001,-40.04,-7.9
532,OURICURI,2010,6,19.299999999999997,-40.04,-7.9
533,OURICURI,2010,7,6.300000000000001,-40.04,-7.9
534,OURICURI,2010,8,2.2,-40.04,-7.9
535,OURICURI,2010,9,3.8,-40.04,-7.9
536,OURICURI,2010,10,36.0,-40.04,-7.9
537,OURICURI,2010,11,0.0,-40.04,-7.9
538,OURICURI,2010,12,111.90000000000002,-40.04,-7.9
539,OURICURI,2011,1,81.89999999999999,-40.04,-7.9
540,OURICURI,2011,2,95.69999999999999,-40.04,-7.9
541,OURICURI,2011,3,135.3,-40.04,-7.9
542,OURICURI,2011,4,88.1,-40.04,-7.9
543,OURICURI,2011,5,167.70000000000002,-40.04,-7.9
544,OURICURI,2011,6,11.9,-40.04,-7.9
545,OURICURI,2011,7,11.200000000000001,-40.04,-7.9
546,OURICURI,2011,8,26.400000000000002,-40.04,-7.9
547,OURICURI,2011,9,2.3,-40.04,-7.9
548,OURICURI,2011,10,59.1,-40.04,-7.9
549,OURICURI,2011,11,55.1,-40.04,-7.9
550,OURICURI,2011,12,44.2,-40.04,-7.9
551,OURICURI,2012,1,53.2,-40.04,-7.9
552,OURICURI,2012,2,76.1,-40.04,-7.9
553,OURICURI,2012,3,14.9,-40.04,-7.9
554,OURICURI,2012,4,3.6,-40.04,-7.9
555,OURICURI,2012,5,3.4,-40.04,-7.9
556,OURICURI,2012,6,0.0,-40.04,-7.9
557,OURICURI,2012,7,12.6,-40.04,-7.9
558,OURICURI,2012,8,2.2,-40.04,-7.9
559,OURICURI,2012,9,1.4,-40.04,-7.9
560,OURICURI,2012,10,0.5,-40.04,-7.9
561,OURICURI,2012,11,25.3,-40.04,-7.9
562,OURICURI,2012,12,6.699999999999999,-40.04,-7.9
563,OURICURI,2013,1,141.29999999999998,-40.04,-7.9
564,OURICURI,2013,2,1.1,-40.04,-7.9
565,OURICURI,2013,3,49.900000000000006,-40.04,-7.9
566,OURICURI,2013,4,89.0,-40.04,-7.9
567,OURICURI,2013,5,13.3,-40.04,-7.9
568,OURICURI,2013,6,1.5000000000000002,-40.04,-7.9
569,OURICURI,2013,7,30.5,-40.04,-7.9
570,OURICURI,2013,8,0.3,-40.04,-7.9
571,OURICURI,2013,9,0.0,-40.04,-7.9
572,OURICURI,2013,10,0.4,-40.04,-7.9
573,OURICURI,2013,11,2.6999999999999997,-40.04,-7.9
574,OURICURI,2013,12,97.39999999999999,-40.04,-7.9
575,OURICURI,2014,1,29.200000000000003,-40.04,-7.9
576,OURICURI,2014,2,135.9,-40.04,-7.9
577,OURICURI,2014,3,107.7,-40.04,-7.9
578,OURICURI,2014,4,78.7,-40.04,-7.9
579,OURICURI,2014,5,25.599999999999998,-40.04,-7.9
580,OURICURI,2014,6,5.699999999999999,-40.04,-7.9
