"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"260350 Camocim de São Félix";-;-;-;3;3;-;-;-;-;-;-;-;6
"260360 Camutanga";-;-;-;1;-;-;-;-;-;-;-;-;1
"260370 Canhotinho";-;-;3;7;6;1;1;-;-;-;-;-;18
"260380 Capoeiras";-;-;2;2;3;6;1;1;-;-;-;-;15
"260390 Carnaíba";5;14;16;19;22;1;2;-;-;-;-;-;79
"260392 Carnaubeira da Penha";-;-;-;1;2;-;-;-;-;-;-;-;3
"260400 Carpina";25;128;121;110;61;34;15;3;6;9;1;1;514
"260410 Caruaru";1;7;8;6;3;2;4;6;2;1;2;-;42
"260415 Casinhas";-;-;-;2;-;-;-;-;1;-;2;-;5
"260420 Catende";-;1;-;2;-;-;-;1;1;-;-;-;5
"260430 Cedro";-;4;3;2;1;-;-;-;-;1;-;-;11
"260440 Chã de Alegria";-;-;-;-;-;1;-;1;-;-;-;-;2
"260450 Chã Grande";3;1;2;-;3;6;4;7;1;9;2;3;41
"260460 Condado";19;35;60;43;40;16;6;5;5;6;1;5;241
"260470 Correntes";-;-;-;-;1;2;1;1;-;-;-;-;5
"260480 Cortês";-;-;3;-;-;-;-;-;-;-;-;-;3
"260490 Cumaru";10;4;3;-;4;8;1;-;2;-;-;-;32
"260500 Cupira";-;-;-;1;-;-;-;-;-;-;-;-;1
"260510 Custódia";-;-;-;-;-;-;-;-;1;-;-;-;1
"260515 Dormentes";-;-;-;-;1;1;3;-;-;-;-;-;5
"260520 Escada";1;-;26;4;1;1;3;-;-;-;-;-;36
"260530 Exu";-;5;5;8;1;-;-;-;-;-;-;-;19
"260545 Fernando de Noronha";1;-;7;3;8;-;2;-;-;-;-;-;21
"260550 Ferreiros";-;-;6;-;-;-;-;-;-;-;-;-;6
"260560 Flores";1;1;3;1;-;-;-;-;-;2;-;-;8
"260570 Floresta";7;7;15;1;1;1;-;-;1;-;1;-;34
"260590 Gameleira";1;1;16;5;4;2;-;-;-;-;-;-;29
"260600 Garanhuns";8;10;26;300;239;92;63;26;10;5;-;-;779
"260610 Glória do Goitá";-;-;5;3;2;6;2;-;2;6;6;1;33
"260620 Goiana";30;43;52;96;103;48;33;24;8;2;-;1;440
"260630 Granito";5;-;-;1;1;-;-;-;-;-;-;-;7
"260640 Gravatá";4;-;3;11;10;9;3;2;1;1;-;-;44
"260650 Iati";-;1;5;10;4;2;-;-;1;-;-;-;23
"260660 Ibimirim";-;-;1;2;-;-;1;-;-;-;-;-;4
"260670 Ibirajuba";-;-;-;-;1;-;1;-;-;-;-;-;2
"260680 Igarassu";3;13;27;40;32;16;7;4;3;-;-;1;146
"260690 Iguaracy";-;1;11;2;-;1;-;-;-;-;-;-;15
"260760 Ilha de Itamaracá";-;12;42;24;10;10;3;1;-;-;-;-;102
"260710 Ingazeira";5;15;11;1;1;-;-;-;1;-;-;-;34
"260720 Ipojuca";26;45;88;65;55;25;23;16;9;4;-;2;358
"260730 Ipubi";-;-;-;-;1;-;-;-;1;6;1;-;9
"260740 Itacuruba";-;1;-;3;-;-;-;-;1;-;-;-;5
"260750 Itaíba";-;-;-;-;-;1;-;-;-;-;-;-;1
"260765 Itambé";3;7;30;26;14;3;-;-;-;-;-;-;83
"260770 Itapetim";5;9;46;5;2;-;-;2;-;-;-;-;69
"260775 Itapissuma";1;-;2;1;6;3;1;-;2;-;-;-;16
"260780 Itaquitinga";7;6;10;13;21;10;14;-;-;3;-;1;85
"260790 Jaboatão dos Guararapes";9;31;69;90;51;24;18;12;4;1;3;1;313
"260795 Jaqueira";-;-;1;-;2;10;2;2;-;-;-;-;17
"260800 Jataúba";-;-;-;1;-;-;-;-;-;-;-;-;1
"260810 João Alfredo";2;-;-;2;-;1;2;-;-;-;-;1;8
"260820 Joaquim Nabuco";-;2;1;4;1;-;1;-;-;-;-;-;9
"260825 Jucati";-;1;-;-;1;-;-;1;-;-;-;-;3
"260830 Jupi";-;1;3;3;2;-;-;-;-;-;-;-;9
"260840 Jurema";-;4;12;76;16;-;-;-;-;-;-;-;108
"260850 Lagoa de Itaenga";2;1;-;1;2;-;-;-;-;-;-;-;6
"260845 Lagoa do Carro";-;7;27;28;24;5;6;9;4;11;2;3;126
"260860 Lagoa do Ouro";-;-;1;-;-;-;-;-;-;1;-;-;2
"260870 Lagoa dos Gatos";-;-;-;-;-;-;-;1;-;-;-;-;1
"260875 Lagoa Grande";-;2;-;-;-;-;-;-;-;-;-;-;2
"260880 Lajedo";-;-;-;2;6;1;1;-;-;-;-;-;10
"260890 Limoeiro";20;23;23;34;20;10;8;2;5;1;-;2;148
"260900 Macaparana";1;1;2;4;11;5;1;-;-;-;-;-;25
"260910 Machados";-;4;17;10;1;5;1;-;-;2;-;-;40
"260915 Manari";-;3;-;-;-;-;1;-;-;-;-;-;4
"260920 Maraial";-;-;-;1;1;-;1;-;-;-;-;-;3
"260930 Mirandiba";-;-;-;2;2;1;-;-;-;-;-;-;5
"261430 Moreilândia";-;5;1;4;-;-;-;-;-;-;-;-;10
"260940 Moreno";2;7;26;36;83;43;11;1;3;9;-;-;221
"260950 Nazaré da Mata";1;-;1;-;1;16;3;-;2;1;-;1;26
"260960 Olinda";8;41;90;65;69;79;24;35;31;32;15;4;493
"260970 Orobó";3;6;27;6;4;-;-;-;3;-;-;-;49
"260990 Ouricuri";2;-;-;-;-;-;-;1;2;6;-;-;11
"261000 Palmares";1;5;31;21;5;18;2;2;-;2;1;-;88
"261010 Palmeirina";-;-;1;-;-;-;-;-;-;-;-;-;1
"261020 Panelas";-;-;1;2;-;-;-;-;-;-;-;-;3
"261030 Paranatama";-;1;6;14;2;-;1;-;-;1;-;-;25
"261050 Passira";-;-;5;5;3;1;-;-;-;-;-;-;14
"261060 Paudalho";45;70;81;71;45;9;50;10;-;3;-;-;384
"261070 Paulista";17;64;85;86;90;67;22;41;45;38;4;10;569
"261080 Pedra";-;-;3;1;-;-;-;-;1;-;-;-;5
"261090 Pesqueira";1;-;3;3;3;8;1;-;-;-;-;-;19
"261100 Petrolândia";-;-;-;1;1;3;-;-;-;-;-;-;5
"261110 Petrolina";75;85;74;67;66;56;28;4;2;2;1;7;467
"261120 Poção";-;2;16;-;1;1;-;-;-;-;-;-;20
"261130 Pombos";1;-;2;2;1;-;-;-;-;-;-;-;6
"261140 Primavera";-;2;1;1;-;1;2;4;4;-;-;-;15
"261150 Quipapá";-;4;8;4;4;4;1;2;2;-;-;-;29
"261153 Quixaba";4;9;10;1;-;8;4;2;1;1;-;1;41
"261160 Recife";82;204;461;512;790;723;569;434;404;437;416;117;5149
"261180 Ribeirão";-;7;6;2;2;2;-;-;1;-;-;-;20
"261190 Rio Formoso";-;2;16;9;-;1;4;-;-;-;-;2;34
"261210 Salgadinho";-;1;-;-;-;-;-;1;-;-;-;-;2
"261220 Salgueiro";1;1;13;5;9;1;8;-;-;-;-;-;38
"261230 Saloá";-;-;2;1;1;-;-;-;-;-;-;-;4
"261240 Sanharó";-;-;-;2;1;-;-;-;-;-;-;1;4
"261247 Santa Cruz da Baixa Verde";-;1;2;-;-;-;-;-;-;-;-;-;3
"261250 Santa Cruz do Capibaribe";1;2;5;7;6;-;-;-;-;-;-;-;21
"261260 Santa Maria da Boa Vista";1;-;-;3;-;1;-;-;-;-;-;-;5
"261270 Santa Maria do Cambucá";-;-;-;2;1;-;-;-;1;-;-;-;4
"261280 Santa Terezinha";2;5;13;3;2;1;-;-;-;-;-;-;26
"261320 São João";-;-;1;1;-;-;-;-;-;-;-;-;2
"261330 São Joaquim do Monte";2;3;1;1;-;1;-;-;-;-;-;-;8
"261340 São José da Coroa Grande";2;3;5;-;6;4;1;4;-;1;-;-;26
"261350 São José do Belmonte";51;41;89;163;64;14;4;1;-;-;-;16;443
"261360 São José do Egito";14;32;60;34;13;4;4;-;-;-;-;1;162
"261370 São Lourenço da Mata";1;-;1;2;1;9;3;-;-;-;-;2;19
"261380 São Vicente Ferrer";-;-;-;3;-;-;-;-;-;-;-;-;3
"261390 Serra Talhada";13;9;15;14;3;5;2;-;-;-;-;3;64
"261400 Serrita";48;16;37;20;-;-;-;-;-;-;-;12;133
"261410 Sertânia";8;4;11;5;2;1;3;3;-;4;-;-;41
"261440 Solidão";10;10;10;17;4;1;1;-;-;-;-;-;53
"261450 Surubim";1;1;1;3;14;15;11;5;3;3;3;-;60
"261460 Tabira";41;24;6;1;1;-;-;-;-;-;-;-;73
"261480 Tacaratu";-;-;1;3;3;2;1;-;-;-;-;-;10
"261485 Tamandaré";1;5;4;2;6;2;6;1;-;1;-;2;30
"261500 Taquaritinga do Norte";-;-;-;-;-;1;3;2;3;1;3;1;14
"261510 Terezinha";-;-;-;-;-;1;-;-;-;1;-;-;2
"261520 Terra Nova";-;-;-;-;36;11;4;-;-;-;-;-;51
"261530 Timbaúba";3;12;46;65;42;3;-;-;-;-;-;-;171
"261540 Toritama";-;-;1;2;-;-;-;-;-;-;-;-;3
"261550 Tracunhaém";2;14;5;1;1;-;-;1;-;-;-;-;24
"261570 Triunfo";2;-;6;4;-;-;-;-;-;-;-;-;12
"261580 Tupanatinga";-;-;10;6;18;5;1;-;-;1;-;-;41
"261590 Tuparetama";-;2;3;7;1;-;-;3;-;-;-;-;16
"261600 Venturosa";-;-;-;-;-;3;1;1;-;-;-;-;5
"261610 Verdejante";4;11;41;74;38;2;-;-;4;-;-;-;174
"261618 Vertente do Lério";-;-;-;-;-;1;-;-;-;-;-;-;1
"261620 Vertentes";-;4;1;-;-;-;-;-;-;-;-;-;5
"261630 Vicência";8;12;-;1;4;1;-;-;-;-;-;-;26
"261640 Vitória de Santo Antão";11;33;74;41;91;27;12;3;9;10;4;-;315
"261650 Xexéu";-;1;-;-;2;10;2;-;1;1;-;-;17
