"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"261550 Tracunhaém";2;7;9;5;2;-;-;-;-;-;-;1;26
"261560 Trindade";-;-;1;2;-;-;-;-;-;1;-;-;4
"261570 Triunfo";1;3;8;25;97;21;5;-;-;-;-;-;160
"261580 Tupanatinga";1;-;5;20;15;4;-;-;-;-;-;1;46
"261590 Tuparetama";-;-;10;18;1;-;-;-;-;-;-;-;29
"261610 Verdejante";-;-;5;2;-;-;2;-;-;-;-;-;9
"261618 Vertente do Lério";1;-;-;-;-;-;-;-;-;-;-;-;1
"261620 Vertentes";16;31;43;47;7;1;3;-;1;-;1;-;150
"261630 Vicência";-;1;2;1;-;-;-;-;-;-;-;-;4
"261640 Vitória de Santo Antão";110;28;30;19;3;4;1;1;2;1;1;7;207
"261650 Xexéu";-;-;-;1;-;3;1;1;-;-;-;-;6
