,Estacao,Data,Precipitacao,Date,year,month,day,long,lat
2968,ARCOVERDE,24/01/2004,0.0,2004-01-24,2004,1,24,-37.08,-8.41
2970,ARCOVERDE,25/01/2004,0.0,2004-01-25,2004,1,25,-37.08,-8.41
2972,ARCOVERDE,26/01/2004,16.4,2004-01-26,2004,1,26,-37.08,-8.41
2974,ARCOVERDE,27/01/2004,0.9,2004-01-27,2004,1,27,-37.08,-8.41
2976,ARCOVERDE,28/01/2004,2.8,2004-01-28,2004,1,28,-37.08,-8.41
2978,ARCOVERDE,29/01/2004,27.2,2004-01-29,2004,1,29,-37.08,-8.41
2980,ARCOVERDE,30/01/2004,19.4,2004-01-30,2004,1,30,-37.08,-8.41
2982,ARCOVERDE,31/01/2004,0.3,2004-01-31,2004,1,31,-37.08,-8.41
2984,ARCOVERDE,01/02/2004,17.0,2004-02-01,2004,2,1,-37.08,-8.41
2986,ARCOVERDE,02/02/2004,4.8,2004-02-02,2004,2,2,-37.08,-8.41
2988,ARCOVERDE,03/02/2004,34.2,2004-02-03,2004,2,3,-37.08,-8.41
2990,ARCOVERDE,04/02/2004,46.6,2004-02-04,2004,2,4,-37.08,-8.41
2992,ARCOVERDE,05/02/2004,1.0,2004-02-05,2004,2,5,-37.08,-8.41
2994,ARCOVERDE,06/02/2004,78.6,2004-02-06,2004,2,6,-37.08,-8.41
2996,ARCOVERDE,07/02/2004,8.6,2004-02-07,2004,2,7,-37.08,-8.41
2998,ARCOVERDE,08/02/2004,2.2,2004-02-08,2004,2,8,-37.08,-8.41
3000,ARCOVERDE,09/02/2004,0.0,2004-02-09,2004,2,9,-37.08,-8.41
3002,ARCOVERDE,10/02/2004,0.0,2004-02-10,2004,2,10,-37.08,-8.41
3004,ARCOVERDE,11/02/2004,0.0,2004-02-11,2004,2,11,-37.08,-8.41
3006,ARCOVERDE,12/02/2004,0.0,2004-02-12,2004,2,12,-37.08,-8.41
3008,ARCOVERDE,13/02/2004,0.7,2004-02-13,2004,2,13,-37.08,-8.41
3010,ARCOVERDE,14/02/2004,0.0,2004-02-14,2004,2,14,-37.08,-8.41
3012,ARCOVERDE,15/02/2004,0.0,2004-02-15,2004,2,15,-37.08,-8.41
3014,ARCOVERDE,16/02/2004,0.0,2004-02-16,2004,2,16,-37.08,-8.41
3016,ARCOVERDE,17/02/2004,1.1,2004-02-17,2004,2,17,-37.08,-8.41
3018,ARCOVERDE,18/02/2004,0.0,2004-02-18,2004,2,18,-37.08,-8.41
3020,ARCOVERDE,19/02/2004,0.0,2004-02-19,2004,2,19,-37.08,-8.41
3022,ARCOVERDE,20/02/2004,0.0,2004-02-20,2004,2,20,-37.08,-8.41
3024,ARCOVERDE,21/02/2004,0.0,2004-02-21,2004,2,21,-37.08,-8.41
3026,ARCOVERDE,22/02/2004,0.0,2004-02-22,2004,2,22,-37.08,-8.41
3028,ARCOVERDE,23/02/2004,0.0,2004-02-23,2004,2,23,-37.08,-8.41
3030,ARCOVERDE,24/02/2004,0.0,2004-02-24,2004,2,24,-37.08,-8.41
3032,ARCOVERDE,25/02/2004,0.6,2004-02-25,2004,2,25,-37.08,-8.41
3034,ARCOVERDE,26/02/2004,0.0,2004-02-26,2004,2,26,-37.08,-8.41
3036,ARCOVERDE,27/02/2004,0.0,2004-02-27,2004,2,27,-37.08,-8.41
3038,ARCOVERDE,28/02/2004,12.4,2004-02-28,2004,2,28,-37.08,-8.41
3040,ARCOVERDE,29/02/2004,0.0,2004-02-29,2004,2,29,-37.08,-8.41
3042,ARCOVERDE,01/03/2004,0.0,2004-03-01,2004,3,1,-37.08,-8.41
3044,ARCOVERDE,02/03/2004,0.0,2004-03-02,2004,3,2,-37.08,-8.41
3046,ARCOVERDE,03/03/2004,0.0,2004-03-03,2004,3,3,-37.08,-8.41
3048,ARCOVERDE,04/03/2004,0.0,2004-03-04,2004,3,4,-37.08,-8.41
3050,ARCOVERDE,05/03/2004,0.0,2004-03-05,2004,3,5,-37.08,-8.41
3052,ARCOVERDE,06/03/2004,0.0,2004-03-06,2004,3,6,-37.08,-8.41
3054,ARCOVERDE,07/03/2004,11.6,2004-03-07,2004,3,7,-37.08,-8.41
3056,ARCOVERDE,08/03/2004,0.3,2004-03-08,2004,3,8,-37.08,-8.41
3058,ARCOVERDE,09/03/2004,0.0,2004-03-09,2004,3,9,-37.08,-8.41
3060,ARCOVERDE,10/03/2004,0.0,2004-03-10,2004,3,10,-37.08,-8.41
3062,ARCOVERDE,11/03/2004,0.0,2004-03-11,2004,3,11,-37.08,-8.41
3064,ARCOVERDE,12/03/2004,35.2,2004-03-12,2004,3,12,-37.08,-8.41
3066,ARCOVERDE,13/03/2004,0.3,2004-03-13,2004,3,13,-37.08,-8.41
3068,ARCOVERDE,14/03/2004,0.0,2004-03-14,2004,3,14,-37.08,-8.41
