Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82797;09/04/2000;0000;;29;;3.4;2.5;24.62;80.75;4.133333;
82797;09/04/2000;1200;2.3;;21.1;;;;;;
82797;10/04/2000;0000;;29.2;;2.7;2.6;24.34;81;4.566667;
82797;10/04/2000;1200;0;;21.6;;;;;;
82797;11/04/2000;0000;;29.2;;5.8;2.8;24;88.25;3.833333;
82797;11/04/2000;1200;2.6;;19.3;;;;;;
82797;12/04/2000;0000;;30.5;;7.6;2.8;24.38;82.75;4.4;
82797;12/04/2000;1200;;;20.9;;;;;;
82797;13/04/2000;0000;;29;;7.6;2.8;23.72;85.25;4.133333;
82797;13/04/2000;1200;3;;20.3;;;;;;
82797;14/04/2000;0000;;31.2;;9;3.7;24.94;73.25;3.9;
82797;14/04/2000;1200;1.3;;20.9;;;;;;
82797;15/04/2000;0000;;31.2;;4;3.5;25.44;80.75;1.966667;
82797;15/04/2000;1200;5.9;;22.1;;;;;;
82797;16/04/2000;0000;;29.8;;5.6;2.2;25.06;82.75;3;
82797;16/04/2000;1200;0;;22.1;;;;;;
82797;17/04/2000;0000;;30.2;;2.3;1.8;24.62;88.5;2.8;
82797;17/04/2000;1200;49.6;;21.6;;;;;;
82797;18/04/2000;0000;;29.2;;5.9;1;24.06;83;3.633333;
82797;18/04/2000;1200;17;;20.9;;;;;;
82797;19/04/2000;0000;;29.8;;6.4;1;24.62;82.75;2.733333;
82797;19/04/2000;1200;4.8;;21.3;;;;;;
82797;20/04/2000;0000;;30;;9.6;2;24.88;84;3.2;
82797;20/04/2000;1200;8.1;;22.1;;;;;;
82797;21/04/2000;0000;;31;;9.1;2;25.02;79.25;2.8;
82797;21/04/2000;1200;0;;22.3;;;;;;
82797;22/04/2000;0000;;30;;10;3.5;25.06;79;2.5;
82797;22/04/2000;1200;0;;21.2;;;;;;
82797;23/04/2000;0000;;30;;9.4;3.1;24.7;77;3.633333;
82797;23/04/2000;1200;0;;20.1;;;;;;
82797;24/04/2000;0000;;31;;6.5;5;25.1;75;5.4;
82797;24/04/2000;1200;0;;21.1;;;;;;
82797;25/04/2000;0000;;28.2;;2.8;2.8;24.04;78;3.933333;
82797;25/04/2000;1200;0;;20.3;;;;;;
82797;26/04/2000;0000;;27.2;;2.6;1.5;23;84.5;3.066667;
82797;26/04/2000;1200;8;;19.1;;;;;;
82797;27/04/2000;0000;;29;;10.3;1.5;24.2;77;3.666667;
82797;27/04/2000;1200;0.2;;20.5;;;;;;
82797;28/04/2000;0000;;28.4;;7;3.4;24.3;81.25;5.633333;
82797;28/04/2000;1200;0;;20.9;;;;;;
82797;29/04/2000;0000;;28.4;;6.5;1.8;23.58;83.75;4.766667;
82797;29/04/2000;1200;1.9;;22.2;;;;;;
82797;30/04/2000;0000;;29.5;;5.7;1.8;24.26;78.5;3.666667;
82797;30/04/2000;1200;0.1;;21.9;;;;;;
82797;01/05/2000;0000;;29;;8.7;3.2;24.4;79.5;4.1;
82797;01/05/2000;1200;2.2;;21.3;;;;;;
82797;02/05/2000;0000;;26.8;;0.8;3.8;22.74;88.5;3.733333;
82797;02/05/2000;1200;1.7;;20.7;;;;;;
82797;03/05/2000;0000;;28;;8.4;1.2;23.52;84.5;4.666667;
82797;03/05/2000;1200;20.5;;19.9;;;;;;
82797;04/05/2000;0000;;27.8;;7.4;1.7;23.6;82;3.233333;
